name,phone,address,district,category
কোহিনুর মোটরস (হওযু অ্যান্ড রোডমাস্টার),01924-663322, ৪.০(৩২০),Dhaka,motorcycle
সিটি হোন্ডা,01896-180888, ৪.৯(৫২৮),Dhaka,motorcycle
সাওয়ারী বাইক এবং গিয়ার,01766-614293, ৪.১(৫১২),Dhaka,motorcycle
"ইয়ামাহা শোরুম - ক্রিসেন্ট এন্টারপ্রাইজ, এসিআই মটরস লিমিটেড",01324-173759," ৪.৩(২,৪৫৬)",Dhaka,motorcycle
ইয়ামাহা বাইক শপ,01985-653112, ৪.২(৩৪৫),Dhaka,motorcycle
"নিলয় হিরো, তেজগাঁও",01919-098966," ৪.২(১,৫৫২)",Dhaka,motorcycle showroom
সুজুকি উইংস বিডি লিমিটেড,01707-415893, ৪.২(৬৪৬),Dhaka,motorcycle showroom
নিশো মোটরস - মোহাম্মদপুর,01972-119399, ৪.২(৫২৩),Dhaka,motorcycle showroom
"উত্তরা মটরস লিমিটেড, বাজাজ পয়েন্ট",01813-551621, ৪.১(৫০৯),Dhaka,motorcycle showroom
বাইক নেশন বিডি,01776-285457, ৪.৯(১০১),Dhaka,bike repair
মটোমেকস বাংলাদেশ - বেস্ট বাইক সার্ভিস সেন্টের ইন ঢাকা,01989-892323, ৪.৫(৭৫),Dhaka,bike repair
বাইক হ্যাকস বিডি,01912-474248, ৪.৭(৪৮),Dhaka,bike repair
বাইক শপ বিডি,01989-968105, ৪.৩(৩৯৬),Dhaka,bike repair
সাইকেল ওয়ার্কস বিডি,01670-475126, ৪.৯(৭৯),Dhaka,bike repair
ইমন পরিসেবা কেন্দ্র,01711-585951, ৩.৭(৩৫০),Dhaka,bike repair
গিয়ার আপ মোটরবাইক সার্ভিস পয়েন্ট,, ৪.২(৭২৫),Dhaka,bike repair
ঢাকা বাইক হসপিটাল,01745-745728, ৫.০(২),Dhaka,bike repair
শাহীন সাইকেল সার্ভিস সেন্টার,01911-263304, ৪.৬(৮৬),Dhaka,bike repair
জিএসকে বাইক সার্ভিস সেন্টের,, ৪.৬(২৭),Dhaka,bike repair
ইস্ট এন্ড মোটরস মোটরসাইকেল অ্যাকসেসরিজ অ্যান্ড রিপেয়ার শপ,01977-634608, ৪.৭(১৯),Dhaka,bike repair
স্কোপ অটোমোবাইলস | মোটরসাইকেল সার্ভিস সেন্টের,01619-502020, ৪.৫(১৩৪),Dhaka,bike repair
Fast Gear Motorbike service center | ফাস্ট গিয়ার মটরবাইক সার্ভিস সেন্টার,01633-742800, ৪.৭(১৩৫),Dhaka,motorcycle service
রাইডার্স প্ল্যানেট. মোটরসাইকেল সার্ভিসিং সেন্টের,01712-086160, ৪.৮(৩৬),Dhaka,motorcycle service
স্প্যানার,01970-139186," ৪.৩(১,২২২)",Dhaka,motorcycle service
"স্পর্ক - মোটরসাইকেল সার্ভিস, স্পরেস & অ্যাকসেসরিজ",01786-469061, ৪.৫(৮৫),Dhaka,motorcycle service
উত্তরা মোটরস সার্ভিস সেন্টের,01322-846232, ৪.১(৭৪১),Dhaka,motorcycle service
মোটো জোন,01977-525150, ৪.৪(২৩৬),Dhaka,motorcycle service
মটোসেড সার্ভিস স্টেশন,01601-990844, ৪.৮(১৮),Dhaka,motorcycle service
এন.এস অটো,01928-982674, ৪.৭(১১০),Dhaka,motorcycle service
